MV_ID,NOME,SKU,PRODUTTORE,SIZE,LINGUA,TOP/TAB,PROMO,VALORE (STIMA),OPENING,CONDITIONS,MORE INFO
can_kbnzeu,JAVA TRIPLE SHOT MOCHA OLD,1219B N,BALL,443ML,USA,GOLD/BLACK,,5,,OK,
can_1pyquja,JAVA TRIPLE SHOT MOCHA/MOKA,0223 N,BALL,444ML,CANADA,GOLD/BLACK,,5,,OK,
can_1iqlj7,JAVA TRIPLE SHOT VANILLA NEW,1021 N,BALL,443ML,USA,GOLD/BLACK,,3,,OK,
can_x6eov9,JAVA TRIPLE SHOT VANILLA OLD,1219B N,BALL,443ML,USA,GOLD/BLACK,,5,,OK,
can_1jln7do,JAVA TRIPLE SHOT VANILLA/VANILLE,0223 N,BALL,444ML,CANADA,GOLD/BLACK,,5,,OK,
can_3vs50p,JAVA VANILLA LIGHT,0219 N,BALL,443ML,USA,GOLD/BLACK,,12,,OK,
can_1fnhgro,JAVA VANILLA LIGHT (EXCL. STUFF),0315,BALL,443ML,USA,GOLD/BLACK,YES,40,,OK,
can_j0f50n,JAVA VANILLA LIGHT ARROW,0120 N,BALL,443ML,USA,GOLD/BLACK,,10,,OK,
can_ijjqjj,JAVA VANILLA LIGHT OLD,0810,BALL,443ML,USA,GOLD/BLACK,,35,,OK,
can_1twnsbf,JAVA VANILLA LIGHT OLD (LO-CAL 50% FEWER CALORIES),0214,BALL,443ML,USA,GOLD/BLACK,,30,,OK,
can_1uff4g9,JAVA VANILLA LIGHT OLD (LO-CAL),0811,BALL,443ML,USA,GOLD/BLACK,,35,,OK,
can_13ulett,"KHAOS ""JUICE""",0514,BALL,473ML,USA,SILVER/ORANGE,,6,,OK,
can_hncli8,"KHAOS ""JUICE” CARIBBEAN",1017 N,BALL,473ML,CARIBBEAN,SILVER/ORANGE,,8,BOTTOM OPENED,OK,CARBONATED ENERGY DRINK
can_1wpoaar,"KHAOS ""PUNCH""",0218 N,BALL,473ML,CANADA,SILVER/ORANGE,,30,,OK,
can_3praba,"KHAOS ""UAE OLD""",1213,BALL,500ML,UAE,SILVER,,70,BOTTOM OPEN,Minor Dents,
can_1fc1iym,KHAOS 246 FIRST RELEASE,105,BALL,246ML,USA,SILVER/ORANGE,,250,TOP OPENED,OK,Flipped design
can_1klymb5,KHAOS BLACK,1215,CP,500ML,LITHUANIA,SILVER,,90,,OK,
can_xeqf40,KHAOS BLACK,0716,AG,500ML,DENMARK,SILVER,,80,,OK,
can_1l5nn8y,"KHAOS BLACK ""HIGH CAFFEINE CONTENT""",1215B,NAMPAK,500ML,SOUTH AFRICA,SILVER,,50,,OK,
can_1592g4j,KHAOS BLACK 355,0716D,BALL,355ML,UAE,SILVER,,45,,OK,
can_qni292,KHAOS BLACK 355,0716C,BALL,355ML,QATAR,SILVER,,50,,OK,
can_124dohs,KHAOS BLACK 355 (MEYVE SUYU),0216,REXAM,355ML,TURKEY,SILVER,,50,,OK,
can_1mpj6wb,KHAOS BLACK 355 (MEYVE SUYU),0916,BALL,355ML,TURKEY,SILVER,,50,,OK,
can_lht0wy,KHAOS BLACK MONSTER,1115,BALL,500ML,RUSSIA,SILVER,,45,,Minor Dents,
can_s1082p,KHAOS BLACK MONSTER,0616,REXAM,500ML,RUSSIA,SILVER,,45,BOTTOM OPEN,OK,
can_onw1q3,KHAOS BLACK SYMBOLS,1115,BALL,473ML,MEXICO,SILVER/ORANGE,,80,BOTTOM OPENED,OK,Black symbols 2015 design
can_q1dzkr,KHAOS JP,0416,ASAHI,355ML,JAPAN,SILVER/ORANGE,,3,BOTTOM OPEN,OK,
can_129s1tf,KHAOS OLD,0211,BALL,500ML,NORWAY,SILVER,,10,,OK,
can_17rynfk,KHAOS OLD,0911,REXAM,500ML,DENMARK,SILVER,,12,,OK,
can_1dveimv,KHAOS OLD,1114,CP,500ML,LITHUANIA,SILVER,,10,BOTTOM OPEN,OK,
can_1j9xja5,KHAOS OLD,0410,BALL,500ML,BENELUX,SILVER,,7,,OK,
can_1p8r6e5,KHAOS OLD,0110,BALL,500ML,UK,SILVER,,10,,OK,
can_1pq2ld5,KHAOS OLD,0513,REXAM,500ML,GERMANY,SILVER,,10,,OK,
can_4bgvxu,KHAOS OLD,0611,BALL,500ML,GERMANY,SILVER/BLACK,,10,,OK,
can_l942gu,KHAOS OLD,1114,CP,500ML,HUNGARY,SILVER,,8,,OK,
can_v31l7o,KHAOS OLD,0111,REXAM,500ML,SWEDEN,SILVER/BLACK,,10,,OK,
can_42yzt,"KHAOS OLD ""BULGARIA""",0712,BALL,500ML,BULGARIA,SILVER,,20,,OK,
can_dop6gy,KHAOS OLD “JUGO”,1210,MCC,473ML,MEXICO,SILVER/ORANGE,,90,BOTTOM OPENED,OK,Energy + Jugo 2010/11 version
can_e46ezj,KHAOS OLD “JUGO”,0912,BALL,473ML,MEXICO,SILVER/ORANGE,,70,TOP OPENED,OK,"Energy + Jugo
Bebida carbonata con Jugo de Frutas"
new_1781048807367,KHAOS OLD “JUGO”,128,MCC,473ML,MEXICO,SILVER/ORANGE,,80,BOTTOM OPENED,OK,"Energy + Jugo
bebida carbonata"
can_1j1nzhd,"KHAOS OLD ""MEXICO RELABELED""",1117,?,473ML,MEXICO->USA,SILVER/ORANGE,,100,FULL,OK,Relabeled version
can_80j9dr,"KHAOS OLD ""SILVER TEXT"" (70% JUICE)",047,CM,473ML,USA,SILVER/ORANGE,,100,,OK,
can_mg7sd2,"KHAOS OLD ""STICKER RELABELED""",0611,?,500ML,UK->SLOVENIA,SILVER,,15,,OK,
can_pppxli,KHAOS OLD “SUCO”,0610,LB,500ML,BRAZIL,SILVER,,60,TOP OPENED,OK,Old 500ml Brazil
can_10xtq9a,KHAOS OLD (30% JUICE),0113,REXAM,473ML,USA,SILVER/ORANGE,,30,,OK,
can_m9cdud,KHAOS OLD (30% JUICE),028,MCC,473ML,USA,SILVER/ORANGE,,30,,OK,
can_1978tl4,KHAOS OLD (CIK),0712,BALL,500ML,UKRAINE,SILVER,,20,,OK,
